id,car_id,drAirBag,psAirBag,sideAirBag,sideHeadAirBag,rearSideAB,vehAlarm,abs4,rearDefrost,chSafetyLocks,dayRunLights,tracControl,antiTheft,turnSigMirrors,parkAssist,trunkRelease,frTowHooks,tpms,bluetooth,telematics,rearCamera,stabilityCtrl,rearBAirBag,alarmSys,rearSpoiler
1,18479342,std,std,std,std,std,std,std,n/a,std,std,std,opt,n/a,opt,std,opt,opt,n/a,std,n/a,opt,std,opt,std
2,10946793,std,opt,std,opt,std,std,std,opt,std,std,opt,std,std,std,std,std,std,std,std,std,std,std,std,opt
3,29390043,std,std,std,std,n/a,std,std,std,std,std,std,opt,opt,opt,std,std,std,std,n/a,opt,opt,std,std,opt
4,14539816,std,std,std,std,std,n/a,opt,std,opt,opt,n/a,std,std,std,opt,std,opt,std,std,std,std,opt,std,opt
5,19995166,std,std,n/a,n/a,n/a,std,std,std,std,std,std,std,opt,std,n/a,opt,std,std,std,opt,std,n/a,opt,std
6,20657633,opt,std,std,std,std,opt,opt,std,std,std,std,n/a,opt,std,std,std,n/a,opt,opt,opt,std,std,std,opt
7,21320100,opt,opt,std,opt,opt,std,std,opt,std,opt,std,std,std,n/a,std,n/a,opt,std,std,std,n/a,std,n/a,std
8,21982568,std,std,std,std,std,opt,std,n/a,opt,std,std,std,std,std,std,std,std,opt,std,std,std,std,std,opt
9,22645035,std,opt,std,std,std,opt,std,std,std,n/a,opt,opt,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,opt
10,23307502,std,std,opt,n/a,n/a,std,n/a,std,n/a,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,std
11,23969969,std,std,n/a,opt,std,std,std,std,std,std,opt,std,std,std,std,n/a,std,std,n/a,std,std,std,n/a,std
12,24632436,std,std,std,std,opt,std,n/a,n/a,std,std,n/a,std,n/a,opt,std,std,opt,n/a,std,n/a,opt,std,std,opt
13,25294904,std,opt,std,opt,opt,std,std,std,std,std,std,std,std,std,std,std,n/a,std,std,std,std,std,std,opt
14,25957371,std,std,std,std,n/a,std,std,std,n/a,std,std,n/a,opt,n/a,opt,n/a,std,opt,opt,opt,n/a,opt,n/a,std
15,26619838,std,std,std,std,std,n/a,opt,std,std,opt,n/a,std,n/a,std,std,std,n/a,std,std,n/a,std,std,std,opt
16,27282305,opt,std,std,std,std,std,std,std,std,n/a,std,std,std,std,std,opt,std,std,n/a,std,std,std,opt,std
17,27944772,std,std,std,opt,n/a,opt,n/a,opt,n/a,std,opt,opt,n/a,opt,std,std,opt,std,n/a,n/a,opt,std,std,opt
18,28607240,std,opt,std,std,std,n/a,std,std,std,n/a,std,std,std,std,std,std,opt,opt,std,std,std,std,std,opt
19,29269707,std,std,std,std,std,std,std,std,opt,std,std,n/a,n/a,opt,opt,n/a,std,std,opt,n/a,opt,opt,n/a,opt
20,29932174,std,opt,opt,std,std,n/a,opt,std,std,opt,std,n/a,std,n/a,std,std,std,opt,opt,std,n/a,std,std,opt
21,19460395,opt,std,std,n/a,std,std,std,std,std,opt,opt,std,std,opt,std,opt,std,opt,std,std,opt,std,opt,std
22,26524596,std,opt,std,opt,opt,n/a,opt,opt,n/a,std,std,opt,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,std
23,12068002,std,std,std,std,std,std,n/a,std,std,std,opt,opt,n/a,std,std,opt,opt,n/a,std,n/a,std,std,opt,opt
24,12689301,std,std,std,opt,std,std,opt,std,opt,std,opt,std,std,std,opt,n/a,std,std,std,std,std,opt,n/a,std
25,13029678,std,std,opt,std,std,std,n/a,n/a,std,std,n/a,std,std,std,n/a,opt,n/a,opt,n/a,std,std,n/a,opt,opt
26,29678491,std,std,std,n/a,n/a,n/a,std,std,opt,opt,n/a,std,opt,std,std,std,opt,std,std,opt,std,std,std,opt
27,22535611,opt,opt,std,n/a,n/a,std,std,opt,n/a,std,std,std,n/a,opt,std,opt,opt,n/a,std,n/a,opt,std,opt,std
28,22468078,std,std,n/a,std,opt,std,std,n/a,opt,n/a,opt,n/a,std,std,std,std,std,std,std,std,std,std,std,opt
29,22400545,opt,opt,std,std,std,opt,std,std,std,opt,std,std,opt,opt,std,std,std,std,n/a,opt,opt,std,std,std
30,22333013,std,std,opt,std,std,n/a,std,std,n/a,n/a,opt,std,std,std,opt,std,opt,std,std,std,std,opt,std,opt
31,22265480,std,std,std,std,std,std,opt,opt,opt,opt,std,opt,opt,std,n/a,opt,std,std,std,opt,std,n/a,opt,opt
32,22197948,std,std,n/a,opt,opt,std,std,std,std,std,std,std,opt,std,std,std,n/a,opt,opt,opt,std,std,std,std
33,22130415,std,opt,n/a,n/a,n/a,std,std,std,std,std,std,n/a,std,n/a,std,n/a,opt,std,std,std,n/a,std,n/a,std
34,22062882,std,std,opt,std,std,std,std,std,std,opt,opt,std,std,std,std,std,std,opt,std,std,std,std,std,opt
35,21995350,std,std,std,std,std,std,std,n/a,std,n/a,std,std,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,opt
36,21927817,opt,std,std,std,std,n/a,opt,opt,std,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,std
37,21860285,std,std,std,opt,n/a,std,std,n/a,std,std,std,std,std,std,std,n/a,std,std,n/a,std,std,std,n/a,opt
38,21792752,std,opt,std,n/a,n/a,std,opt,std,std,opt,std,std,n/a,opt,std,std,opt,n/a,std,n/a,opt,std,std,std
39,21725219,std,std,opt,n/a,std,std,std,std,std,std,std,std,std,std,std,std,n/a,std,std,std,std,std,std,opt
40,21657687,std,opt,std,std,std,std,n/a,n/a,opt,std,n/a,n/a,opt,n/a,opt,n/a,std,opt,opt,opt,n/a,opt,n/a,opt
41,21590154,opt,opt,std,std,opt,opt,std,std,std,n/a,std,std,n/a,std,std,std,n/a,std,std,n/a,std,std,std,opt
42,21522621,std,std,std,opt,n/a,std,std,opt,opt,opt,std,n/a,std,std,std,opt,std,std,n/a,std,std,std,opt,opt
43,21455089,std,opt,std,std,n/a,n/a,std,std,std,n/a,n/a,opt,n/a,opt,std,std,opt,std,n/a,n/a,opt,std,std,std
44,21387556,std,std,n/a,std,std,std,std,opt,std,std,std,std,std,std,std,std,opt,opt,std,std,std,std,std,std
45,21320024,std,std,std,std,opt,std,opt,n/a,std,std,std,std,n/a,opt,opt,n/a,std,std,opt,n/a,opt,opt,n/a,opt
46,21252491,std,std,opt,std,std,std,std,std,n/a,std,n/a,std,std,n/a,std,std,std,opt,opt,std,n/a,std,std,opt
47,21184958,opt,std,std,opt,n/a,std,std,opt,std,std,std,std,std,opt,std,opt,std,opt,std,std,opt,std,opt,std
48,21117426,std,std,std,n/a,std,opt,std,std,n/a,opt,std,std,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,std
49,21049893,std,opt,std,std,std,std,std,n/a,n/a,std,opt,n/a,n/a,std,std,opt,opt,n/a,std,n/a,std,std,opt,opt
50,20982361,std,std,std,std,std,std,std,std,std,opt,std,std,std,std,opt,n/a,std,std,std,std,std,opt,n/a,opt
51,20914828,std,std,std,opt,opt,std,n/a,std,std,n/a,opt,std,std,std,n/a,opt,n/a,opt,n/a,std,std,n/a,opt,std
52,20847295,std,std,std,std,std,std,std,std,std,std,std,std,opt,std,std,std,opt,std,std,opt,std,std,std,opt
53,20779763,std,std,n/a,std,std,n/a,std,std,std,std,opt,n/a,n/a,opt,std,opt,opt,n/a,std,n/a,opt,std,opt,std
54,20712230,opt,std,std,n/a,std,opt,std,n/a,std,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,opt
55,20644698,std,opt,std,n/a,std,std,opt,n/a,std,std,std,opt,opt,opt,std,std,std,std,n/a,opt,opt,std,std,opt
56,20577165,std,std,n/a,n/a,std,std,std,std,n/a,opt,std,std,std,std,opt,std,opt,std,std,std,std,opt,std,opt
57,20509632,std,std,std,opt,n/a,opt,std,std,std,std,n/a,opt,opt,std,n/a,opt,std,std,std,opt,std,n/a,opt,opt
58,20442100,std,std,std,std,n/a,std,std,std,std,opt,opt,std,opt,std,std,std,n/a,opt,opt,opt,std,std,std,std
59,20374567,opt,std,std,std,opt,n/a,std,n/a,opt,std,std,std,std,n/a,std,n/a,opt,std,std,std,n/a,std,n/a,std
60,20307035,std,opt,std,opt,opt,std,n/a,std,std,std,std,std,std,std,std,std,std,opt,std,std,std,std,std,opt
61,20239502,std,std,std,std,std,std,std,opt,std,n/a,opt,n/a,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,std
62,20171969,std,std,std,std,std,std,std,std,n/a,std,std,std,std,std,std,std,std,std,std,std,std,std,std,opt
63,20104437,std,opt,n/a,n/a,opt,opt,std,opt,std,n/a,std,opt,std,std,std,n/a,std,std,n/a,std,std,std,n/a,opt
64,20036904,std,std,std,std,std,std,std,std,std,std,opt,std,n/a,opt,std,std,opt,n/a,std,n/a,opt,std,std,std
65,19969372,std,std,std,std,std,std,opt,n/a,n/a,std,opt,opt,std,std,std,std,n/a,std,std,std,std,std,std,opt
66,19901839,std,std,std,std,opt,std,opt,std,n/a,std,std,std,opt,n/a,opt,n/a,std,opt,opt,opt,n/a,opt,n/a,opt
67,19834306,std,std,std,std,std,std,std,std,std,std,std,opt,n/a,std,std,std,n/a,std,std,n/a,std,std,std,std
68,19766774,std,opt,n/a,std,opt,std,std,n/a,std,opt,n/a,std,std,std,std,opt,std,std,n/a,std,std,std,opt,std
69,19699241,std,std,std,std,n/a,std,opt,std,n/a,opt,std,opt,n/a,opt,std,std,opt,std,n/a,n/a,opt,std,std,opt
70,19631709,std,std,std,std,n/a,n/a,std,std,std,std,std,std,std,std,std,std,opt,opt,std,std,std,std,std,opt
71,19564176,opt,std,std,n/a,std,opt,std,std,std,std,std,std,n/a,opt,opt,n/a,std,std,opt,n/a,opt,opt,n/a,std
72,19496643,std,std,std,std,opt,n/a,opt,opt,std,opt,opt,std,std,n/a,std,std,std,opt,opt,std,n/a,std,std,std
73,19429111,std,std,opt,opt,opt,n/a,opt,opt,std,n/a,std,std,std,opt,std,opt,std,opt,std,std,opt,std,opt,opt
74,19361578,std,opt,n/a,std,std,std,std,std,std,std,std,n/a,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,opt
75,19294046,std,std,n/a,std,n/a,std,std,std,std,std,opt,std,n/a,std,std,opt,opt,n/a,std,n/a,std,std,opt,std
76,19226513,opt,std,std,n/a,std,std,std,opt,opt,std,std,std,std,std,opt,n/a,std,std,std,std,std,opt,n/a,opt
77,19158980,std,std,std,n/a,std,std,std,std,std,std,std,std,std,std,n/a,opt,n/a,opt,n/a,std,std,n/a,opt,std
78,19091448,std,opt,n/a,opt,std,std,std,std,opt,std,std,opt,opt,std,std,std,opt,std,std,opt,std,std,std,opt
79,19023915,std,std,std,std,std,std,std,opt,std,std,opt,std,n/a,opt,std,opt,opt,n/a,std,n/a,opt,std,opt,opt
80,18956383,std,std,opt,n/a,std,std,std,std,std,opt,std,std,std,std,std,std,std,std,std,std,std,std,std,opt
81,18888850,std,std,std,std,std,opt,std,opt,std,std,opt,std,opt,opt,std,std,std,std,n/a,opt,opt,std,std,opt
82,18821317,std,std,std,std,opt,std,std,std,opt,n/a,opt,opt,std,std,opt,std,opt,std,std,std,std,opt,std,std
83,18753785,opt,opt,std,std,std,n/a,std,std,n/a,std,std,std,opt,std,n/a,opt,std,std,std,opt,std,n/a,opt,std
84,18686252,std,std,std,std,std,n/a,std,std,std,std,opt,opt,opt,std,std,std,n/a,opt,opt,opt,std,std,std,opt
85,18618720,std,std,n/a,std,n/a,std,opt,std,std,std,std,n/a,std,n/a,std,n/a,opt,std,std,std,n/a,std,n/a,std
86,18551187,std,std,n/a,opt,std,std,std,n/a,n/a,std,std,std,std,std,std,std,std,opt,std,std,std,std,std,opt
87,18483654,std,std,std,opt,opt,std,std,opt,std,opt,std,n/a,std,n/a,n/a,std,std,n/a,std,std,n/a,n/a,std,opt
88,18416122,opt,std,n/a,std,std,std,std,std,n/a,std,std,opt,std,std,std,std,std,std,std,std,std,std,std,std
89,18348589,std,opt,std,n/a,std,std,std,std,n/a,opt,std,std,std,std,std,n/a,std,std,n/a,std,std,std,n/a,opt
90,18281057,std,std,std,std,std,std,std,std,n/a,std,std,std,n/a,opt,std,std,opt,n/a,std,n/a,opt,std,std,opt
91,18213524,std,std,std,std,opt,opt,std,std,std,std,opt,std,std,std,std,std,n/a,std,std,std,std,std,std,std
92,18145991,std,std,opt,opt,n/a,std,std,std,std,std,std,n/a,opt,n/a,opt,n/a,std,opt,opt,opt,n/a,opt,n/a,std
93,18078459,std,std,std,opt,std,std,std,std,std,std,std,opt,n/a,std,std,std,n/a,std,std,n/a,std,std,std,opt
94,18010926,std,std,std,std,std,n/a,std,n/a,n/a,std,std,std,std,std,std,opt,std,std,n/a,std,std,std,opt,opt
95,17943394,opt,opt,std,std,std,opt,opt,std,opt,opt,n/a,n/a,n/a,opt,std,std,opt,std,n/a,n/a,opt,std,std,std
96,17875861,opt,opt,n/a,n/a,std,std,opt,opt,std,std,std,std,std,std,std,std,opt,opt,std,std,std,std,std,std
97,17808328,std,std,opt,std,opt,std,std,std,opt,opt,std,std,n/a,opt,opt,n/a,std,std,opt,n/a,opt,opt,n/a,opt
98,17740796,std,std,std,std,opt,std,std,std,std,opt,opt,opt,std,n/a,std,std,std,opt,opt,std,n/a,std,std,opt
99,17673263,std,opt,std,n/a,n/a,std,std,std,std,std,std,n/a,std,opt,std,opt,std,opt,std,std,opt,std,opt,std
100,17605731,opt,opt,std,std,std,std,n/a,n/a,n/a,std,std,std,std,n/a,n/a,std,std,opt,std,std,std,n/a,std,std