id,car_id,sideAirBag,rearBodyAirBag,alarmSystem,navSystem,perfTires,alumWheels,intWipers,woodIntTrim,rearSpoiler
1,19564176,opt,std,n/a,std,std,std,opt,std,opt
2,18618720,opt,std,std,opt,std,opt,std,n/a,std
3,18686252,std,n/a,std,std,opt,std,std,std,std
4,18753785,std,std,std,opt,std,opt,std,std,n/a
5,18821317,std,n/a,n/a,std,n/a,std,opt,n/a,std
6,18888850,std,std,std,std,std,std,n/a,std,n/a
7,18956383,std,std,std,std,std,std,std,opt,std
8,19023915,n/a,opt,std,std,std,std,std,std,opt
9,19091448,std,std,std,std,std,n/a,opt,std,opt
10,19158980,opt,n/a,opt,n/a,std,std,std,n/a,std
11,19226513,n/a,std,std,std,opt,n/a,opt,std,std
12,19294046,std,std,std,n/a,std,std,n/a,opt,std
13,19361578,n/a,opt,std,n/a,std,std,opt,std,std
14,19429111,std,std,std,n/a,std,std,n/a,std,std
15,19766774,n/a,opt,opt,std,n/a,n/a,std,std,std
16,19834306,std,n/a,std,std,std,opt,std,std,std
17,17605731,std,opt,std,std,n/a,std,opt,n/a,std
18,17673263,std,n/a,n/a,n/a,n/a,std,std,std,opt
19,17740796,n/a,std,std,opt,std,std,n/a,std,n/a
20,17808328,std,opt,std,std,std,opt,std,n/a,std
21,17875861,opt,std,std,opt,std,std,std,std,n/a
22,17943394,std,n/a,opt,std,std,std,std,opt,std
23,18010926,std,std,std,std,std,std,opt,std,opt
24,18078459,std,std,std,opt,std,opt,std,std,opt
25,18145991,opt,std,std,std,opt,std,std,n/a,std
26,18213524,std,std,std,opt,std,opt,std,std,std
27,18281057,opt,std,std,std,n/a,std,opt,opt,std
28,18348589,std,std,std,std,std,std,n/a,n/a,opt
29,18416122,std,std,std,std,std,std,std,std,opt
30,18483654,std,opt,std,std,std,n/a,opt,n/a,std
31,18551187,opt,std,n/a,n/a,std,std,std,std,std
32,19496643,opt,std,std,std,opt,n/a,opt,std,n/a
33,19631709,std,n/a,std,n/a,std,std,n/a,n/a,std
34,19699241,std,std,std,n/a,std,std,opt,std,n/a
35,20577165,std,n/a,n/a,n/a,std,std,n/a,opt,std
36,20644698,std,std,std,std,n/a,n/a,std,std,opt
37,20712230,std,std,std,std,std,opt,std,std,opt
38,20779763,n/a,opt,std,std,n/a,std,opt,n/a,std
39,20847295,std,std,std,n/a,n/a,std,std,std,std
40,20914828,opt,n/a,opt,opt,std,std,n/a,opt,std
41,20982361,n/a,std,std,std,std,opt,std,std,std
42,21049893,std,std,std,opt,std,std,std,std,std
43,21117426,n/a,opt,std,std,std,std,std,std,std
44,21184958,std,std,std,std,std,std,opt,std,std
45,21252491,n/a,opt,opt,opt,std,opt,std,n/a,std
46,21320024,std,n/a,std,std,opt,std,std,std,opt
47,21387556,std,opt,std,opt,std,opt,std,std,n/a
48,21455089,std,n/a,n/a,std,n/a,std,opt,n/a,std
49,21522621,n/a,std,std,std,std,std,n/a,std,n/a
50,19901839,std,opt,std,std,std,std,std,opt,std
51,19969372,opt,std,std,std,std,n/a,opt,std,opt
52,20036904,std,n/a,opt,n/a,std,std,std,std,opt
53,20104437,std,std,std,std,opt,n/a,opt,n/a,std
54,20171969,std,std,std,n/a,std,std,n/a,std,std
55,20239502,opt,std,std,n/a,std,std,opt,opt,std
56,20307035,std,std,std,n/a,std,std,n/a,n/a,opt
57,20374567,opt,std,std,std,n/a,n/a,std,std,opt
58,20442100,std,std,std,std,std,opt,std,n/a,std
59,20509632,std,std,std,std,n/a,std,opt,std,std
60,12689301,std,opt,std,n/a,n/a,std,std,std,n/a
61,13029678,opt,std,n/a,opt,std,std,n/a,n/a,std
62,22197948,opt,std,std,std,std,opt,std,std,n/a
63,22265480,std,n/a,std,opt,std,std,std,opt,std
64,22333013,std,std,std,std,std,std,std,std,opt
65,22400545,std,n/a,n/a,std,std,std,opt,std,opt
66,22468078,std,std,std,opt,std,opt,std,n/a,std
67,22535611,std,std,std,std,opt,std,std,std,std
68,25294904,n/a,opt,std,opt,std,opt,std,opt,std
69,25957371,std,std,std,std,n/a,std,opt,std,std
70,26524596,opt,n/a,opt,std,std,std,n/a,std,std
71,26619838,n/a,std,std,std,std,std,std,std,std
72,21590154,std,std,std,std,std,n/a,opt,std,std
73,21657687,n/a,opt,std,n/a,std,std,std,n/a,std
74,21725219,std,std,std,std,opt,n/a,opt,std,opt
75,19460395,n/a,opt,opt,n/a,std,std,n/a,std,n/a
76,21792752,std,n/a,std,n/a,std,std,opt,n/a,std
77,21860285,std,opt,std,n/a,std,std,n/a,std,n/a
78,21927817,std,n/a,n/a,std,n/a,n/a,std,opt,std
79,21995350,n/a,std,std,std,std,opt,std,std,opt
80,22062882,std,opt,std,std,n/a,std,opt,std,opt
81,22130415,opt,std,std,n/a,n/a,std,std,n/a,std
82,10946793,std,n/a,opt,opt,std,std,n/a,std,std
83,12068002,std,std,std,std,std,opt,std,opt,std
84,14539816,std,std,std,opt,std,std,std,n/a,opt
85,18479342,opt,std,std,std,std,std,std,std,opt
86,19995166,std,std,std,std,std,std,opt,n/a,std
87,20657633,opt,std,std,opt,std,opt,std,std,std
88,21320100,std,std,std,std,opt,std,std,std,n/a
89,21982568,std,std,std,opt,std,opt,std,n/a,std
90,22645035,std,opt,std,std,n/a,std,opt,std,n/a
91,23307502,n/a,opt,std,std,std,std,n/a,opt,std
92,23969969,std,std,std,std,std,std,std,std,opt
93,24632436,n/a,opt,opt,n/a,std,std,opt,std,opt
94,29390043,std,n/a,std,n/a,std,std,n/a,n/a,std
95,27282305,std,opt,std,std,n/a,n/a,std,std,std
96,27944772,std,n/a,n/a,std,std,opt,std,opt,std
97,28607240,n/a,std,std,std,n/a,std,opt,std,std
98,29269707,std,opt,std,n/a,n/a,std,std,std,std
99,29678491,opt,std,std,opt,std,std,n/a,std,std
100,29932174,std,n/a,opt,std,std,opt,std,std,std